date	min	max
1/1/2015	-3	5
2/1/2015	0	8
3/1/2015	3	8
4/1/2015	6	16
5/1/2015	2	8
6/1/2015	2	8
7/1/2015		
8/1/2015		
9/1/2015		
10/1/2015		
11/1/2015		
12/1/2015		
13/1/2015		
14/1/2015		
15/1/2015	5	15
16/1/2015	5	14
17/1/2015	5	14
18/1/2015	5	13
19/1/2015	2	8
20/1/2015	5	8
21/1/2015	5	10
22/1/2015	4	10
23/1/2015	5	9
24/1/2015	5	9
25/1/2015	2	8
26/1/2015	2	7
27/1/2015	-1	7
28/1/2015	0	7
29/1/2015	-1	9
30/1/2015	7	10
31/1/2015	1	9
1/2/2015	1	4
2/2/2015	-1	7
3/2/2015	1	8
4/2/2015	3	8
5/2/2015	5	7
6/2/2015	3	7
7/2/2015	2	7
8/2/2015	2	8
9/2/2015	-2	7
10/2/2015	0	13
11/2/2015	3	13
12/2/2015	2	14
13/2/2015	4	14
14/2/2015	4	14
15/2/2015	4	13
16/2/2015	5	10
17/2/2015	5	13
18/2/2015	5	13
19/2/2015	0	12
20/2/2015	0	10
21/2/2015	1	11
22/2/2015	6	12
23/2/2015	5	14
24/2/2015	6	13
25/2/2015	6	10
26/2/2015	5	15
27/2/2015	2	15
28/2/2015	2	14
1/3/2015	2	13
2/3/2015	6	8
3/3/2015	6	16
4/3/2015	7	13
5/3/2015	2	5
6/3/2015	1	10
7/3/2015	2	10
8/3/2015	2	12
9/3/2015	2	15
10/3/2015	2	14
11/3/2015	3	15
12/3/2015	2	13
13/3/2015	2	14
14/3/2015	1	13
15/3/2015	6	10
16/3/2015	5	10
17/3/2015	4	10
18/3/2015	5	14
19/3/2015	6	16
20/3/2015	6	15
21/3/2015	6	15
22/3/2015	5	9
23/3/2015	6	14
24/3/2015	9	
25/3/2015	8	10
26/3/2015	9	15
27/3/2015	9	14
28/3/2015	8	15
29/3/2015	6	
30/3/2015	8	16
31/3/2015	7	17
1/4/2015	7	19
2/4/2015	6	16
3/4/2015	5	16
4/4/2015	8	10
5/4/2015	6	9
6/4/2015	3	9
7/4/2015	1	8
8/4/2015	2	14
9/4/2015	4	19
10/4/2015	5	16
11/4/2015	5	15
12/4/2015	6	18
13/4/2015	7	19
14/4/2015	8	21
15/4/2015	10	23
16/4/2015	10	20
17/4/2015	9	19
18/4/2015	11	19
19/4/2015	10	18
20/4/2015	6	19
21/4/2015	8	20
22/4/2015	7	19
23/4/2015	10	18
24/4/2015	12	20
25/4/2015	13	22
26/4/2015	12	21
27/4/2015	10	17
28/4/2015	10	17
29/4/2015	9	18
30/4/2015	10	19
1/5/2015	9	16
2/5/2015	10	18
3/5/2015	12	20
4/5/2015	14	24
5/5/2015	15	27
6/5/2015	15	25
7/5/2015	15	25
8/5/2015	13	25
9/5/2015	13	27
10/5/2015	15	28
11/5/2015	13	28
12/5/2015	15	28
13/5/2015	15	27
14/5/2015	13	25
15/5/2015	14	23
16/5/2015	11	22
17/5/2015	13	25
18/5/2015	15	27
19/5/2015	14	26
20/5/2015	13	24
21/5/2015	13	24
22/5/2015	7	18
23/5/2015	9	13
24/5/2015	10	23
25/5/2015	9	19
26/5/2015	11	19
27/5/2015	10	20
28/5/2015	9	21
29/5/2015	12	23
30/5/2015	13	
31/5/2015		
1/6/2015		
2/6/2015		
3/6/2015	16	26
4/6/2015	16	24
5/6/2015	16	31
6/6/2015	18	27
7/6/2015	18	29
8/6/2015	17	30
9/6/2015	17	28
10/6/2015	15	28
11/6/2015	16	26
12/6/2015	15	26
13/6/2015	16	30
14/6/2015	16	25
15/6/2015	15	24
16/6/2015	15	26
17/6/2015	14	25
18/6/2015	15	24
19/6/2015	12	27
20/6/2015	13	26
21/6/2015	12	26
22/6/2015	12	27
23/6/2015	14	27
24/6/2015	15	
25/6/2015	13	27
26/6/2015	12	24
27/6/2015	13	29
28/6/2015	14	30
29/6/2015	17	30
30/6/2015	17	31
1/7/2015	19	31
2/7/2015	19	31
3/7/2015	20	31
4/7/2015	18	32
5/7/2015	20	31
6/7/2015	20	32
7/7/2015	20	32
8/7/2015	21	32
9/7/2015	20	32
10/7/2015	17	30
11/7/2015	20	31
12/7/2015	20	32
13/7/2015	21	30
14/7/2015	21	32
15/7/2015	21	34
16/7/2015		
17/7/2015		
18/7/2015		
19/7/2015		
20/7/2015		
21/7/2015		
22/7/2015		
23/7/2015		
24/7/2015	20	34
25/7/2015	20	32
26/7/2015	19	28
27/7/2015	18	30
28/7/2015	18	30
29/7/2015	19	31
30/7/2015	19	31
31/7/2015	19	31
1/8/2015	19	31
2/8/2015	19	32
3/8/2015	20	33
4/8/2015	20	33
5/8/2015	22	33
6/8/2015	21	35
7/8/2015	22	35
8/8/2015	23	35
9/8/2015	23	32
10/8/2015	22	27
11/8/2015	16	23
12/8/2015	18	30
13/8/2015	19	30
14/8/2015	20	30
15/8/2015	22	30
16/8/2015	18	25
17/8/2015	16	27
18/8/2015	16	27
19/8/2015	16	26
20/8/2015	14	27
21/8/2015	16	28
22/8/2015	16	28
23/8/2015	17	28
24/8/2015	15	22
25/8/2015	16	27
26/8/2015	17	29
27/8/2015	18	30
28/8/2015	18	30
29/8/2015	17	31
30/8/2015	19	33
31/8/2015	21	34
1/9/2015	19	32
2/9/2015	18	30
3/9/2015	17	28
4/9/2015	17	25
5/9/2015	16	25
6/9/2015	16	25
7/9/2015	16	25
8/9/2015	15	25
9/9/2015	14	21
10/9/2015	13	24
11/9/2015	15	24
12/9/2015	17	27
13/9/2015	17	27
14/9/2015	16	22
15/9/2015	19	29
16/9/2015	19	29
17/9/2015	20	31
18/9/2015	20	31
19/9/2015	19	28
20/9/2015	17	25
21/9/2015	15	25
22/9/2015	13	25
23/9/2015	14	23
24/9/2015	12	24
25/9/2015	12	22
26/9/2015	13	23
27/9/2015	13	20
28/9/2015	13	18
29/9/2015	12	20
30/9/2015	14	19
1/10/2015	12	15
2/10/2015	14	20
3/10/2015	14	21
4/10/2015	15	23
5/10/2015	15	23
6/10/2015	16	23
7/10/2015	16	23
8/10/2015	15	23
9/10/2015	13	19
10/10/2015	11	13
11/10/2015	10	20
12/10/2015	10	20
13/10/2015	13	18
14/10/2015	15	20
15/10/2015	14	19
16/10/2015	12	18
17/10/2015	12	16
18/10/2015	12	19
19/10/2015	14	20
20/10/2015	14	20
21/10/2015	11	18
22/10/2015	8	16
23/10/2015	5	15
24/10/2015	7	18
25/10/2015	12	18
26/10/2015	10	18
27/10/2015	12	20
28/10/2015	12	18
29/10/2015	12	
30/10/2015	10	18
31/10/2015	9	18
1/11/2015	10	18
2/11/2015	7	18
3/11/2015	7	18
4/11/2015	10	21
5/11/2015	12	22
6/11/2015	10	20
7/11/2015	9	21
8/11/2015	10	22
9/11/2015	10	21
10/11/2015	9	18
11/11/2015		
12/11/2015		
13/11/2015		
14/11/2015		
15/11/2015		
16/11/2015		
17/11/2015		
18/11/2015		
19/11/2015		
20/11/2015	12	18
21/11/2015	10	
22/11/2015	5	9
23/11/2015	4	10
24/11/2015	3	13
25/11/2015	1	10
26/11/2015	5	11
27/11/2015	2	8
28/11/2015	1	10
29/11/2015	2	12
30/11/2015	1	13
1/12/2015	4	13
2/12/2015	2	13
3/12/2015	4	8
4/12/2015	4	9
5/12/2015	5	13
6/12/2015	4	13
7/12/2015	4	14
8/12/2015	7	13
9/12/2015	7	14
10/12/2015	4	11
11/12/2015	3	11
12/12/2015	5	14
13/12/2015	6	14
14/12/2015	6	13
15/12/2015	3	11
16/12/2015	3	10
17/12/2015	2	10
18/12/2015	2	10
19/12/2015	2	11
20/12/2015	2	12
21/12/2015	2	13
22/12/2015	3	13
23/12/2015	3	13
24/12/2015	3	14
25/12/2015	4	14
26/12/2015	4	13
27/12/2015	2	13
28/12/2015	2	11
29/12/2015	1	9
30/12/2015	1	10
31/12/2015	1	9
