date	min	max
1/1/1999	4	11
2/1/1999	5	8
3/1/1999	3	9
4/1/1999	4	14
5/1/1999	5	16
6/1/1999	6	16
7/1/1999	4	9
8/1/1999	5	10
9/1/1999	7	12
10/1/1999	7	11
11/1/1999	5	9
12/1/1999	4	8
13/1/1999	3	7
14/1/1999	0	9
15/1/1999	1	10
16/1/1999	-1	13
17/1/1999	0	11
18/1/1999	-1	11
19/1/1999	2	10
20/1/1999	1	10
21/1/1999	-1	10
22/1/1999	-1	9
23/1/1999	-2	10
24/1/1999	-1	11
25/1/1999	-2	10
26/1/1999	0	9
27/1/1999	5	9
28/1/1999	2	7
29/1/1999	1	7
30/1/1999	-4	0
31/1/1999	-5	-1
1/2/1999	-3	4
2/2/1999	-2	5
3/2/1999	0	9
4/2/1999	0	12
5/2/1999	0	8
6/2/1999	2	11
7/2/1999	0	10
8/2/1999	2	8
9/2/1999	1	7
10/2/1999	4	7
11/2/1999	-1	3
12/2/1999	-2	4
13/2/1999	-3	
14/2/1999	-3	9
15/2/1999	-3	7
16/2/1999	-3	7
17/2/1999	1	
18/2/1999	0	10
19/2/1999	5	12
20/2/1999	5	8
21/2/1999	6	15
22/2/1999	8	15
23/2/1999	0	6
24/2/1999	-2	11
25/2/1999	4	8
26/2/1999	-1	12
27/2/1999	0	14
28/2/1999	1	
1/3/1999	3	15
2/3/1999	5	14
3/3/1999	5	15
4/3/1999	6	12
5/3/1999	6	10
6/3/1999	4	8
7/3/1999	4	
8/3/1999	0	12
9/3/1999	4	9
10/3/1999	8	15
11/3/1999	8	17
12/3/1999	7	16
13/3/1999	8	18
14/3/1999	9	20
15/3/1999	10	22
16/3/1999	11	22
17/3/1999	7	9
18/3/1999	2	7
19/3/1999	-1	8
20/3/1999	1	
21/3/1999	4	10
22/3/1999	4	7
23/3/1999	4	11
24/3/1999	4	15
25/3/1999	4	10
26/3/1999	5	10
27/3/1999	6	10
28/3/1999	4	
29/3/1999	4	13
30/3/1999	5	16
31/3/1999	5	16
1/4/1999	6	19
2/4/1999	7	19
3/4/1999	10	21
4/4/1999	8	23
5/4/1999	12	25
6/4/1999	10	18
7/4/1999	9	16
8/4/1999	7	11
9/4/1999	7	15
10/4/1999	8	15
11/4/1999	9	15
12/4/1999	7	15
13/4/1999	8	13
14/4/1999	5	15
15/4/1999	6	15
16/4/1999	8	11
17/4/1999	9	10
18/4/1999	5	
19/4/1999	5	15
20/4/1999	6	12
21/4/1999	9	14
22/4/1999	12	20
23/4/1999	11	18
24/4/1999	11	17
25/4/1999	9	19
26/4/1999	10	
27/4/1999		
28/4/1999		
29/4/1999		
30/4/1999		
1/5/1999		
2/5/1999		
3/5/1999		27
4/5/1999	15	24
5/5/1999	13	22
6/5/1999	14	22
7/5/1999	16	21
8/5/1999	12	18
9/5/1999	13	20
10/5/1999	12	25
11/5/1999	13	26
12/5/1999	13	
13/5/1999	10	25
14/5/1999	14	24
15/5/1999	17	
16/5/1999		
17/5/1999	15	23
18/5/1999	17	23
19/5/1999	17	25
20/5/1999	15	20
21/5/1999	12	
22/5/1999	13	19
23/5/1999	12	22
24/5/1999	13	23
25/5/1999	12	23
26/5/1999	15	
27/5/1999	13	24
28/5/1999	15	27
29/5/1999	16	27
30/5/1999	15	
31/5/1999	18	28
1/6/1999	18	29
2/6/1999	20	28
3/6/1999	18	28
4/6/1999	19	27
5/6/1999	19	28
6/6/1999	20	25
7/6/1999	20	28
8/6/1999	21	27
9/6/1999	18	29
10/6/1999	19	27
11/6/1999	20	27
12/6/1999	18	28
13/6/1999	21	30
14/6/1999	19	29
15/6/1999	18	25
16/6/1999	18	23
17/6/1999	10	23
18/6/1999	16	23
19/6/1999	15	25
20/6/1999	15	20
21/6/1999	10	20
22/6/1999	9	23
23/6/1999	11	25
24/6/1999	10	27
25/6/1999	15	27
26/6/1999	17	28
27/6/1999	18	29
28/6/1999	19	27
29/6/1999	19	28
30/6/1999	18	32
1/7/1999	20	32
2/7/1999	19	32
3/7/1999	20	33
4/7/1999	20	34
5/7/1999	19	33
6/7/1999	18	32
7/7/1999	21	30
8/7/1999	17	27
9/7/1999	16	24
10/7/1999	16	25
11/7/1999	17	25
12/7/1999	17	26
13/7/1999	18	28
14/7/1999	19	30
15/7/1999	18	31
16/7/1999	20	31
17/7/1999	19	31
18/7/1999	20	32
19/7/1999	20	31
20/7/1999	19	32
21/7/1999	19	33
22/7/1999	20	30
23/7/1999	20	28
24/7/1999	17	25
25/7/1999	18	23
26/7/1999	18	28
27/7/1999	18	30
28/7/1999	19	25
29/7/1999	17	27
30/7/1999	18	29
31/7/1999	19	
1/8/1999		
2/8/1999		
3/8/1999		
4/8/1999		
5/8/1999		
6/8/1999		
7/8/1999		
8/8/1999		
9/8/1999	22	32
10/8/1999	25	37
11/8/1999	29	33
12/8/1999	22	32
13/8/1999	20	27
14/8/1999	19	27
15/8/1999	21	26
16/8/1999	19	28
17/8/1999	20	31
18/8/1999	22	31
19/8/1999	21	34
20/8/1999	23	34
21/8/1999	23	34
22/8/1999	21	33
23/8/1999	20	32
24/8/1999	19	31
25/8/1999	20	33
26/8/1999	21	32
27/8/1999	23	28
28/8/1999	19	33
29/8/1999	19	27
30/8/1999	16	25
31/8/1999	17	27
1/9/1999	16	30
2/9/1999	20	30
3/9/1999	16	26
4/9/1999	16	20
5/9/1999	15	25
6/9/1999	16	27
7/9/1999	15	20
8/9/1999	17	27
9/9/1999	16	28
10/9/1999	16	27
11/9/1999	17	29
12/9/1999	16	29
13/9/1999	18	28
14/9/1999	19	29
15/9/1999	18	24
16/9/1999	17	24
17/9/1999	17	25
18/9/1999	18	23
19/9/1999	16	25
20/9/1999	18	27
21/9/1999	17	25
22/9/1999	17	28
23/9/1999	17	27
24/9/1999	18	29
25/9/1999	18	30
26/9/1999	16	26
27/9/1999	16	24
28/9/1999	18	23
29/9/1999	15	26
30/9/1999	17	25
1/10/1999	15	25
2/10/1999	15	24
3/10/1999	13	25
4/10/1999	13	21
5/10/1999	13	18
6/10/1999	10	18
7/10/1999	8	20
8/10/1999	9	22
9/10/1999	9	23
10/10/1999	10	22
11/10/1999	15	21
12/10/1999	13	20
13/10/1999	12	22
14/10/1999	12	23
15/10/1999	13	20
16/10/1999	15	
17/10/1999	15	20
18/10/1999		
19/10/1999		
20/10/1999	9	16
21/10/1999	12	16
22/10/1999	12	20
23/10/1999	12	17
24/10/1999	13	18
25/10/1999	14	25
26/10/1999	18	25
27/10/1999	18	25
28/10/1999	15	24
29/10/1999	14	24
30/10/1999	15	24
31/10/1999	15	
1/11/1999	15	23
2/11/1999	14	22
3/11/1999	15	20
4/11/1999	13	20
5/11/1999	12	19
6/11/1999	13	17
7/11/1999	8	13
8/11/1999	11	17
9/11/1999	8	15
10/11/1999	5	13
11/11/1999	7	9
12/11/1999	8	16
13/11/1999	7	17
14/11/1999	10	15
15/11/1999	10	11
16/11/1999	8	13
17/11/1999	8	11
18/11/1999	4	9
19/11/1999	7	10
20/11/1999	2	8
21/11/1999	7	
22/11/1999	5	9
23/11/1999	0	10
24/11/1999	5	11
25/11/1999	4	15
26/11/1999	4	12
27/11/1999	3	11
28/11/1999	4	12
29/11/1999	3	12
30/11/1999	5	12
1/12/1999	7	18
2/12/1999	10	19
3/12/1999	7	14
4/12/1999	10	13
5/12/1999	8	12
6/12/1999	2	9
7/12/1999	10	11
8/12/1999	-1	9
9/12/1999	6	9
10/12/1999	7	12
11/12/1999	5	11
12/12/1999	0	8
13/12/1999	6	10
14/12/1999	5	7
15/12/1999	12	12
16/12/1999	1	8
17/12/1999	3	6
18/12/1999	1	10
19/12/1999	-2	12
20/12/1999	8	8
21/12/1999	-1	6
22/12/1999	-2	6
23/12/1999	-3	6
24/12/1999	-3	8
25/12/1999	5	8
26/12/1999	7	11
27/12/1999	10	15
28/12/1999	10	11
29/12/1999	4	8
30/12/1999	-2	10
31/12/1999	-3	6
