date	min	max
1/1/2022	4	14
2/1/2022	4	8
3/1/2022	5	9
4/1/2022	6	10
5/1/2022	5	10
6/1/2022	2	8
7/1/2022	1	8
8/1/2022	-1	8
9/1/2022	0	2
10/1/2022	0	4
11/1/2022	0	6
12/1/2022	-1	3
13/1/2022	-1	6
14/1/2022	-2	9
15/1/2022	-1	11
16/1/2022	1	9
17/1/2022	1	10
18/1/2022	1	10
19/1/2022	1	10
20/1/2022	2	8
21/1/2022	1	7
22/1/2022	-1	7
23/1/2022	-1	7
24/1/2022	-1	9
25/1/2022	-1	7
26/1/2022	-1	7
27/1/2022	0	8
28/1/2022	3	10
29/1/2022	0	10
30/1/2022	0	11
31/1/2022	2	4
1/2/2022	1	6
2/2/2022	2	12
3/2/2022	2	12
4/2/2022	3	7
5/2/2022	1	5
6/2/2022	5	12
7/2/2022	5	12
8/2/2022	0	8
9/2/2022	2	12
10/2/2022	2	12
11/2/2022	1	13
12/2/2022	2	14
13/2/2022	4	12
14/2/2022	4	8
15/2/2022	5	8
16/2/2022	3	10
17/2/2022	2	10
18/2/2022	4	10
19/2/2022	5	9
20/2/2022	6	13
21/2/2022	7	12
22/2/2022	2	12
23/2/2022	2	16
24/2/2022	2	15
25/2/2022	2	
26/2/2022	2	
27/2/2022	-1	5
28/2/2022	0	8
1/3/2022	-3	5
2/3/2022	-2	8
3/3/2022	0	10
4/3/2022	-1	7
5/3/2022	-1	7
6/3/2022	-2	7
7/3/2022	0	8
8/3/2022	-2	5
9/3/2022	-2	10
10/3/2022	0	12
11/3/2022	2	13
12/3/2022	2	12
13/3/2022	0	13
14/3/2022	0	13
15/3/2022	3	14
16/3/2022	5	13
17/3/2022	6	13
18/3/2022	6	12
19/3/2022	7	13
20/3/2022	3	12
21/3/2022	0	13
22/3/2022	0	13
23/3/2022	0	16
24/3/2022	1	17
25/3/2022	1	17
26/3/2022	6	16
27/3/2022	10	19
28/3/2022	9	18
29/3/2022	6	
30/3/2022	7	7
31/3/2022	7	10
1/4/2022	7	10
2/4/2022	3	7
