date	min	max
1/1/2010	7	10
2/1/2010	5	12
3/1/2010	0	7
4/1/2010	2	5
5/1/2010	5	8
6/1/2010		
7/1/2010		
8/1/2010		
9/1/2010		
10/1/2010		
11/1/2010	3	5
12/1/2010	0	6
13/1/2010	3	7
14/1/2010	1	10
15/1/2010	1	
16/1/2010		
17/1/2010		
18/1/2010	4	7
19/1/2010	2	10
20/1/2010	-1	12
21/1/2010	1	12
22/1/2010	-1	7
23/1/2010	-1	9
24/1/2010	0	10
25/1/2010	0	3
26/1/2010	2	4
27/1/2010	2	9
28/1/2010	-2	8
29/1/2010	-1	8
30/1/2010	4	8
31/1/2010	1	6
1/2/2010	-3	5
2/2/2010	-2	6
3/2/2010	2	9
4/2/2010	7	10
5/2/2010	5	8
6/2/2010	5	7
7/2/2010	1	6
8/2/2010	0	10
9/2/2010	1	6
10/2/2010	3	6
11/2/2010	3	5
12/2/2010	0	5
13/2/2010	-1	7
14/2/2010	3	10
15/2/2010	2	9
16/2/2010	3	6
17/2/2010	4	8
18/2/2010	5	13
19/2/2010	9	13
20/2/2010	6	12
21/2/2010	4	15
22/2/2010	8	14
23/2/2010	9	15
24/2/2010	9	14
25/2/2010	9	15
26/2/2010	9	13
27/2/2010	8	16
28/2/2010	9	13
1/3/2010	9	15
2/3/2010	9	16
3/3/2010	8	14
4/3/2010	8	12
5/3/2010	3	6
6/3/2010	0	13
7/3/2010	0	14
8/3/2010	1	12
9/3/2010	1	3
10/3/2010	3	8
11/3/2010	1	10
12/3/2010	-1	7
13/3/2010	0	14
14/3/2010	3	14
15/3/2010	3	14
16/3/2010	3	14
17/3/2010	3	16
18/3/2010	3	16
19/3/2010	4	16
20/3/2010	6	13
21/3/2010	9	17
22/3/2010	11	18
23/3/2010	11	17
24/3/2010	12	18
25/3/2010	9	17
26/3/2010	9	16
27/3/2010	8	17
28/3/2010	10	18
29/3/2010	8	18
30/3/2010	0	1
31/3/2010	8	18
1/4/2010	6	18
2/4/2010	6	10
3/4/2010	6	19
4/4/2010	6	12
5/4/2010	5	15
6/4/2010	5	18
7/4/2010	7	19
8/4/2010	8	19
9/4/2010	9	
10/4/2010	8	19
11/4/2010	9	15
12/4/2010	5	16
13/4/2010	7	16
14/4/2010	6	16
15/4/2010	8	19
16/4/2010	10	19
17/4/2010	10	20
18/4/2010	10	20
19/4/2010	10	19
20/4/2010	10	20
21/4/2010	10	20
22/4/2010	10	20
23/4/2010	10	15
24/4/2010	12	18
25/4/2010	11	22
26/4/2010	12	23
27/4/2010	12	22
28/4/2010	11	24
29/4/2010	11	23
30/4/2010	12	23
1/5/2010	13	24
2/5/2010	14	20
3/5/2010	12	18
4/5/2010	15	19
5/5/2010	9	15
6/5/2010	9	15
7/5/2010	9	15
8/5/2010	9	16
9/5/2010	9	20
10/5/2010	11	15
11/5/2010		
12/5/2010	10	18
13/5/2010	11	20
14/5/2010	11	16
15/5/2010	10	13
16/5/2010	10	18
17/5/2010	10	19
18/5/2010	11	20
19/5/2010	10	20
20/5/2010	10	
21/5/2010	9	18
22/5/2010	10	22
23/5/2010	11	21
24/5/2010	13	23
25/5/2010	13	23
26/5/2010	13	23
27/5/2010	13	22
28/5/2010	15	
29/5/2010	14	25
30/5/2010	15	24
31/5/2010	15	24
1/6/2010	15	24
2/6/2010	15	23
3/6/2010	15	20
4/6/2010	14	26
5/6/2010	16	27
6/6/2010	16	26
