date	min	max
1/1/2018	7	13
2/1/2018	-1	7
3/1/2018	-1	10
4/1/2018	5	13
5/1/2018	5	15
6/1/2018	7	15
7/1/2018	8	15
8/1/2018	8	17
9/1/2018	9	13
10/1/2018	4	13
11/1/2018	6	9
12/1/2018	4	10
13/1/2018	3	9
14/1/2018	1	10
15/1/2018	3	11
16/1/2018	6	12
17/1/2018	6	14
18/1/2018	-1	12
19/1/2018	7	10
20/1/2018	6	15
21/1/2018	7	15
22/1/2018	1	12
23/1/2018	2	14
24/1/2018	3	14
25/1/2018	2	13
26/1/2018	3	13
27/1/2018	3	14
28/1/2018	2	14
29/1/2018	2	14
30/1/2018	2	14
31/1/2018	5	10
1/2/2018	5	12
2/2/2018	6	14
3/2/2018	4	12
4/2/2018	-1	10
5/2/2018	2	13
6/2/2018	5	12
7/2/2018	5	10
8/2/2018	3	9
9/2/2018	2	10
10/2/2018	2	9
11/2/2018	1	10
12/2/2018	1	9
13/2/2018	0	10
14/2/2018	-1	7
15/2/2018	-2	8
16/2/2018	-1	10
17/2/2018	4	8
18/2/2018	5	10
19/2/2018	4	10
20/2/2018	2	8
21/2/2018	2	8
22/2/2018	2	8
23/2/2018	4	7
24/2/2018	6	9
25/2/2018	2	10
26/2/2018	-6	2
27/2/2018	-8	2
28/2/2018	-8	3
1/3/2018	-1	5
2/3/2018	5	15
3/3/2018	3	13
4/3/2018	6	10
5/3/2018	4	7
6/3/2018	4	7
7/3/2018	6	15
8/3/2018	6	14
9/3/2018	2	15
10/3/2018	7	11
11/3/2018	7	
12/3/2018	8	14
13/3/2018	7	14
14/3/2018	7	15
15/3/2018	3	10
16/3/2018	4	16
17/3/2018	6	15
18/3/2018	4	13
19/3/2018	5	13
20/3/2018	3	10
21/3/2018	1	9
22/3/2018	0	5
23/3/2018	-2	6
24/3/2018	-1	13
25/3/2018	1	14
26/3/2018	4	15
27/3/2018	1	15
28/3/2018	4	15
29/3/2018	4	15
30/3/2018	7	14
31/3/2018	5	14
1/4/2018	5	15
2/4/2018	4	15
3/4/2018	5	15
4/4/2018	5	13
5/4/2018	4	15
6/4/2018	6	19
7/4/2018	7	19
8/4/2018	8	21
9/4/2018	7	14
10/4/2018	7	15
11/4/2018	7	15
12/4/2018	7	14
13/4/2018	7	16
14/4/2018	6	20
15/4/2018	11	19
16/4/2018	11	20
17/4/2018	11	21
18/4/2018	12	20
19/4/2018	12	22
20/4/2018	12	24
21/4/2018	12	25
22/4/2018	12	24
23/4/2018	10	24
24/4/2018	10	25
25/4/2018	15	25
26/4/2018	12	25
27/4/2018	12	26
28/4/2018	14	27
29/4/2018	14	26
30/4/2018	11	22
1/5/2018	10	17
2/5/2018	12	20
3/5/2018	11	18
4/5/2018	10	17
5/5/2018	10	18
6/5/2018	10	18
7/5/2018	10	17
8/5/2018	10	16
9/5/2018	9	18
10/5/2018	12	20
11/5/2018	10	18
12/5/2018	13	
13/5/2018	13	21
14/5/2018	12	18
15/5/2018	7	15
16/5/2018	7	14
17/5/2018	10	18
18/5/2018	11	20
19/5/2018	12	20
20/5/2018	13	21
21/5/2018	13	20
22/5/2018	13	20
23/5/2018	15	22
24/5/2018	15	25
25/5/2018	15	25
26/5/2018	16	
