date	min	max
1/1/2017	-1	9
2/1/2017	-1	8
3/1/2017	6	12
4/1/2017	-1	9
5/1/2017	-1	8
6/1/2017	-3	-1
7/1/2017	-6	0
8/1/2017	-4	-2
9/1/2017	-4	-2
10/1/2017	-4	2
11/1/2017	-1	4
12/1/2017	-3	4
13/1/2017	-1	3
14/1/2017	-2	3
15/1/2017	-1	5
16/1/2017	-1	4
17/1/2017	-2	4
18/1/2017	-1	4
19/1/2017	-1	7
20/1/2017	-1	10
21/1/2017	-1	7
22/1/2017	-1	7
23/1/2017	-1	7
24/1/2017	-1	10
25/1/2017	1	10
26/1/2017	1	12
27/1/2017	3	12
28/1/2017	5	12
29/1/2017	2	10
30/1/2017	-1	12
31/1/2017	7	11
1/2/2017	8	12
2/2/2017	6	12
3/2/2017	6	13
4/2/2017	8	11
5/2/2017	9	11
6/2/2017	7	10
7/2/2017	5	12
8/2/2017	6	13
9/2/2017	6	10
10/2/2017	4	14
11/2/2017	5	15
12/2/2017	8	15
13/2/2017	8	15
14/2/2017	7	14
15/2/2017	2	14
16/2/2017	2	14
17/2/2017	1	13
18/2/2017	7	10
19/2/2017	1	12
20/2/2017	0	12
21/2/2017	1	13
22/2/2017	2	10
23/2/2017	5	10
24/2/2017	7	12
25/2/2017	6	14
26/2/2017	8	15
27/2/2017	6	15
28/2/2017	5	17
1/3/2017	6	14
2/3/2017	4	12
3/3/2017	4	15
4/3/2017	8	10
5/3/2017	7	12
6/3/2017	5	10
7/3/2017	6	9
8/3/2017	4	13
9/3/2017	5	15
10/3/2017	5	16
11/3/2017	3	13
12/3/2017	1	15
13/3/2017	2	13
14/3/2017	4	15
15/3/2017	4	15
16/3/2017	4	16
17/3/2017	5	16
18/3/2017	8	15
19/3/2017	8	14
20/3/2017	9	15
21/3/2017	7	18
22/3/2017	9	15
23/3/2017	9	15
24/3/2017	9	18
25/3/2017	10	18
26/3/2017	8	15
27/3/2017	5	12
28/3/2017	3	15
29/3/2017	4	18
30/3/2017	5	18
31/3/2017	6	19
1/4/2017	9	20
2/4/2017	7	15
3/4/2017	6	16
4/4/2017	6	19
5/4/2017	7	18
6/4/2017	6	16
7/4/2017	6	18
8/4/2017	6	20
9/4/2017	10	20
10/4/2017	10	20
11/4/2017	10	20
12/4/2017	10	20
13/4/2017	8	18
14/4/2017	8	18
15/4/2017	8	18
16/4/2017	13	20
17/4/2017	8	20
18/4/2017	8	15
19/4/2017	3	13
20/4/2017	1	15
21/4/2017	1	14
22/4/2017	0	16
23/4/2017	4	18
24/4/2017	5	19
25/4/2017	8	18
26/4/2017	9	18
27/4/2017	10	
28/4/2017	8	12
29/4/2017		
30/4/2017		
1/5/2017		
2/5/2017	7	18
3/5/2017	9	18
4/5/2017	9	19
5/5/2017	9	18
6/5/2017	10	20
7/5/2017	10	22
8/5/2017	7	20
9/5/2017	8	20
10/5/2017	9	20
11/5/2017	10	22
12/5/2017	14	23
13/5/2017	14	
14/5/2017	14	25
15/5/2017	14	25
16/5/2017	14	25
17/5/2017	13	25
18/5/2017	14	26
19/5/2017	12	22
20/5/2017	12	22
21/5/2017	10	18
22/5/2017	14	23
23/5/2017	13	24
24/5/2017	14	25
25/5/2017	12	24
26/5/2017	11	
27/5/2017	12	24
28/5/2017	13	28
29/5/2017	13	26
30/5/2017	13	26
31/5/2017	14	26
1/6/2017	14	27
2/6/2017	14	28
3/6/2017	14	29
4/6/2017	14	
5/6/2017	14	28
6/6/2017	15	28
7/6/2017	14	28
8/6/2017	14	28
9/6/2017	14	29
10/6/2017	14	30
11/6/2017	15	31
12/6/2017	15	30
13/6/2017	15	30
14/6/2017	15	30
15/6/2017	16	31
16/6/2017	16	31
17/6/2017	16	31
18/6/2017	15	27
19/6/2017	16	31
20/6/2017	15	31
21/6/2017	16	31
22/6/2017	16	32
23/6/2017	17	32
24/6/2017	17	32
25/6/2017	16	30
26/6/2017	16	31
27/6/2017	16	30
28/6/2017	20	29
29/6/2017	15	27
30/6/2017	18	27
1/7/2017	15	27
2/7/2017	14	27
3/7/2017	15	29
4/7/2017	17	32
5/7/2017	18	33
6/7/2017	19	34
7/7/2017	19	34
8/7/2017	19	35
9/7/2017	18	33
10/7/2017	9	33
11/7/2017	19	32
12/7/2017	18	32
13/7/2017	19	32
14/7/2017	19	32
15/7/2017	18	30
16/7/2017	15	28
17/7/2017	15	29
18/7/2017	16	30
19/7/2017	17	30
20/7/2017	18	31
21/7/2017	18	31
22/7/2017	19	32
23/7/2017	19	32
24/7/2017	18	28
25/7/2017	15	28
26/7/2017	15	28
27/7/2017	18	30
28/7/2017	19	30
29/7/2017	19	31
30/7/2017	19	32
31/7/2017	19	34
1/8/2017	20	37
2/8/2017	23	38
3/8/2017	25	39
4/8/2017	24	38
5/8/2017	21	37
6/8/2017	21	35
7/8/2017	22	35
8/8/2017	22	35
9/8/2017	20	36
10/8/2017	20	35
11/8/2017	18	29
12/8/2017	16	25
13/8/2017	15	29
14/8/2017	16	29
15/8/2017	18	33
16/8/2017	19	33
17/8/2017	20	33
18/8/2017	22	34
19/8/2017	21	34
20/8/2017	20	32
21/8/2017	18	28
22/8/2017	17	30
23/8/2017	19	32
24/8/2017	19	32
25/8/2017	19	32
26/8/2017	18	32
27/8/2017	20	33
28/8/2017	22	36
29/8/2017	20	34
30/8/2017	23	33
31/8/2017	22	32
1/9/2017	17	28
2/9/2017	16	
3/9/2017	13	25
4/9/2017	13	24
5/9/2017	15	23
6/9/2017	16	24
7/9/2017	15	24
8/9/2017	16	25
9/9/2017	16	25
10/9/2017	13	27
11/9/2017	14	18
12/9/2017	15	24
13/9/2017	14	24
14/9/2017	15	23
15/9/2017	14	22
16/9/2017	15	23
17/9/2017	14	23
18/9/2017	14	24
19/9/2017	12	20
20/9/2017	8	17
21/9/2017	8	20
22/9/2017	10	22
23/9/2017	12	23
24/9/2017	12	22
25/9/2017	12	20
26/9/2017	12	20
27/9/2017	12	22
28/9/2017	13	23
29/9/2017	13	23
30/9/2017	13	23
1/10/2017	14	22
2/10/2017	14	23
3/10/2017	13	23
4/10/2017	13	24
5/10/2017	13	24
6/10/2017	14	22
7/10/2017	10	20
8/10/2017	7	20
9/10/2017	14	20
10/10/2017	13	20
11/10/2017	13	22
12/10/2017	13	24
13/10/2017	13	24
14/10/2017	14	25
15/10/2017	14	25
16/10/2017	13	29
17/10/2017	12	23
18/10/2017	12	23
19/10/2017	12	23
