date	min	max
20/10/2017	12	22
21/10/2017	11	22
22/10/2017	11	17
23/10/2017	7	18
24/10/2017	7	18
25/10/2017	7	18
26/10/2017	9	19
27/10/2017	10	16
28/10/2017	8	19
29/10/2017	10	15
30/10/2017	11	
31/10/2017	11	18
1/11/2017		
2/11/2017		
3/11/2017		
4/11/2017		
5/11/2017		
6/11/2017		
7/11/2017		
8/11/2017	9	
9/11/2017	9	15
10/11/2017	8	15
11/11/2017	6	16
12/11/2017	7	9
13/11/2017	5	10
14/11/2017	4	10
15/11/2017	4	8
16/11/2017	5	14
17/11/2017	5	13
18/11/2017	6	15
19/11/2017	5	13
20/11/2017	2	12
21/11/2017	5	12
22/11/2017	8	15
23/11/2017	8	15
24/11/2017	9	15
25/11/2017	10	16
26/11/2017	8	13
27/11/2017	2	18
28/11/2017	-1	12
29/11/2017	5	8
30/11/2017	7	14
1/12/2017	0	19
2/12/2017	2	10
3/12/2017	2	7
4/12/2017	-1	8
5/12/2017	-1	9
6/12/2017	-1	9
7/12/2017	6	10
8/12/2017	7	10
9/12/2017	3	7
10/12/2017	-3	7
11/12/2017	8	13
12/12/2017	7	13
13/12/2017	6	15
14/12/2017	7	12
15/12/2017	7	10
16/12/2017	5	10
17/12/2017	-1	8
18/12/2017	-1	7
19/12/2017	-2	7
20/12/2017	-2	7
21/12/2017	-2	7
22/12/2017	-1	10
23/12/2017	0	11
24/12/2017	1	13
25/12/2017	4	14
26/12/2017	5	10
27/12/2017	5	9
28/12/2017	3	7
29/12/2017	-1	7
30/12/2017	3	10
31/12/2017	5	13
